RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizex) FLOAT(72.86774)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posy) FLOAT(42.415726)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/anglez) FLOAT(-146.64531)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/sizex) FLOAT(23.54634)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posx) FLOAT(72.66242)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posy) FLOAT(33.36725)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/anglez) FLOAT(-146.6453)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/sizex) FLOAT(78.48793)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posx) FLOAT(58.396046)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posy) FLOAT(24.528137)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/anglez) FLOAT(-153.03145)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/sizex) FLOAT(25.685053)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posx) FLOAT(42.396313)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posy) FLOAT(16.386908)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/anglez) FLOAT(-153.03139)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/sizex) FLOAT(85.61679)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posx) FLOAT(26.90768)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posy) FLOAT(8.102198)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/anglez) FLOAT(-147.55629)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/sizex) FLOAT(23.370861)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posx) FLOAT(0.49260688)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posy) FLOAT(-4.458271)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/anglez) FLOAT(-90.89517)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/sizex) FLOAT(10)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posx) FLOAT(4.0182767)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posy) FLOAT(-4.4939423)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/anglez) FLOAT(-0.5788306)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/sizex) FLOAT(21.860273)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/posx) FLOAT(19.296207)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/posy) FLOAT(-4.6482944)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/anglez) FLOAT(-0.5788369)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizex) FLOAT(72.86773)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posx) FLOAT(32.458206)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posy) FLOAT(-1.0731943)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/anglez) FLOAT(69.11082)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/sizex) FLOAT(24.512953)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posx) FLOAT(38.56711)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posy) FLOAT(14.93339)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/anglez) FLOAT(69.11063)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/sizex) FLOAT(81.70979)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posx) FLOAT(46.70494)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posy) FLOAT(29.60802)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/anglez) FLOAT(34.483612)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/sizex) FLOAT(25.864391)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posx) FLOAT(61.605797)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posy) FLOAT(39.84287)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/anglez) FLOAT(34.48377)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/sizex) FLOAT(86.21468)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posx) FLOAT(76.56524)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posy) FLOAT(49.241665)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/anglez) FLOAT(23.571325)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/sizex) FLOAT(23.656788)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posx) FLOAT(91.719986)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posy) FLOAT(55.85361)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/anglez) FLOAT(23.571453)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/sizex) FLOAT(78.856064)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posx) FLOAT(101.785576)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posy) FLOAT(59.043274)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/anglez) FLOAT(-130.01048)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/sizex) FLOAT(15.351367)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posx) FLOAT(94.88735)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posy) FLOAT(50.825317)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/anglez) FLOAT(-130.01036)
